C.D.S.  -  SIMBAD4 rel 1.7  -  2020.09.28CEST13:59:15

Vmag <= 6
---------

Number of objects : 5225

 #  |            identifier             |typ|        coord2 (FK5,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |     spec. type      |#bib |#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------------|-----|----
85  |* 57 Cyg                           |Al*|20 53 14.7550278 +44 23 14.140852      | 4.05 | 4.63 | 4.77 | 4.84 | 4.97 |B5V                  | 181 |   0
86  |* 60 Cyg                           |Be*|21 01 10.9277825432 +46 09 20.792180714| 4.23 | 5.226| 5.432|     ~|     ~|B1Ve                 | 179 |   0
87  |HD 199098                          |V* |20 53 18.5694372911 +45 10 54.052532740|     ~| 6.550| 5.462|     ~|     ~|K0II                 |  43 |   0
88  |HD 199870                          |SB*|20 58 19.4699613032 +44 28 17.965660140|     ~| 6.528| 5.547|     ~|     ~|K0III:Fe-0.5         |  95 |   0
89  |HD 199579                          |SB*|20 56 34.7781372461 +44 55 29.000769871| 5.16 | 6.01 | 5.96 |     ~|     ~|O6.5V((f))z          | 340 |   0
90  |HD 204411                          |a2*|21 26 51.6210422364 +48 50 06.598904376| 5.54 | 5.38 | 5.31 |     ~|     ~|A4VpSiCrHg           | 172 |   0
91  |HD 205314                          |** |21 32 56.5913653851 +49 58 39.470136422|     ~| 5.721| 5.755|     ~|     ~|A0V                  |  63 |   0
92  |* pi.02 Cyg                        |SB*|21 46 47.6083178 +49 18 34.451096      | 3.4  | 4.11 | 4.18 |     ~|     ~|B3III                | 163 |   0
93  |HD 210715                          |PM*|22 11 09.8925034794 +50 49 24.284430359|     ~| 5.517| 5.377|     ~|     ~|A5V                  |  46 |   0
94  |* bet Lac                          |** |22 23 33.6237466 +52 13 44.564655      | 6.26 | 5.46 | 4.44 | 3.67 | 3.10 |G9IIIbCa1            | 143 |   0
95  |HD 214878                          |*  |22 40 18.4071739997 +53 50 45.334474243|     ~| 6.877| 5.920|     ~|     ~|K0III                |  22 |   0
96  |V* V1022 Cas                       |Al*|23 57 08.4723872976 +55 42 20.535629999|     ~| 6.033| 5.561|     ~|     ~|F6V                  |  61 |   0
97  |HD 4222                            |*  |00 45 17.1731895237 +55 13 17.030159068|     ~| 5.423| 5.410|     ~|     ~|A2Vs                 |  48 |   1
98  |HD 3240                            |*  |00 36 08.3099232843 +54 10 06.414742689| 4.58 | 4.967| 5.076|     ~|     ~|B7III                |  60 |   0
99  |* zet Cas                          |Pu*|00 36 58.2841866 +53 53 48.867311      | 2.58 | 3.47 | 3.66 | 3.74 | 3.95 |B2IV                 | 421 |   0
100 |HD 2952                            |PM*|00 33 10.3945013802 +54 53 41.946448489|     ~| 6.959| 5.922|     ~|     ~|K0III                |  43 |   1
101 |* lam Cas A                        |*  |00 31 46.316736 +54 31 20.32284        |     ~| 5.24 | 5.35 |     ~|     ~|B7.5V                |   7 |   0
102 |HD 6211                            |PM*|01 04 02.3920192113 +52 30 07.783658125|     ~| 7.434| 5.977|     ~|     ~|K2                   |  17 |   0
103 |* mu. Cas                          |SB*|01 08 16.39470 +54 55 13.2264          | 5.93 | 5.86 | 5.17 | 4.55 | 4.13 |G5Vb                 | 545 |   1
104 |HD 11151                           |PM*|01 50 57.1281148480 +51 56 00.307462702|     ~| 6.385| 5.951|     ~|     ~|F5IV                 |  63 |   0
105 |* 2 Per                            |SB*|01 52 09.3724316574 +50 47 34.066209587| 5.38 | 5.623| 5.689|     ~|     ~|B9pHgMn              |  89 |   0
106 |* 65 And                           |*  |02 25 37.4260771486 +50 16 43.081481063|     ~| 6.249| 4.710|     ~|     ~|K4.5III              |  83 |   0
107 |* 63 And                           |a2*|02 20 58.2022500253 +50 09 05.379014742|     ~| 5.46 | 5.59 |     ~|     ~|B9VpSi               | 101 |   0
108 |* 64 And                           |*  |02 24 24.9159445992 +50 00 23.561940805| 6.93 | 6.17 | 5.19 |     ~|     ~|G8III                |  55 |   0
109 |HD 17656                           |*  |02 51 41.7298460931 +46 50 30.990424563|     ~| 6.762| 5.859|     ~|     ~|G8III                |  34 |   0
110 |* kap Per                          |PM*|03 09 29.7715574 +44 51 27.146337      | 5.62 | 4.79 | 3.81 | 3.07 | 2.57 |G9.5IIIb             | 224 |   0
111 |* 30 Per                           |SB*|03 17 47.3527013514 +44 01 30.083459574| 5.07 | 5.409| 5.476|     ~|     ~|B8V                  |  87 |   0
112 |* l Per                            |PM*|03 21 26.5572313250 +43 19 46.741405350|     ~| 5.006| 4.946|     ~|     ~|A3V                  |  65 |   0
113 |V* IW Per                          |SB*|03 33 35.0335072963 +39 53 58.114748423|     ~| 5.909| 5.776|     ~|     ~|A3V                  |  89 |   0
114 |HD 193322A                         |** |20 18 06.9877288640 +40 43 55.494731271|     ~| 6.004| 5.958|     ~|     ~|O9IV(n)              |  15 |   0
