C.D.S.  -  SIMBAD4 rel 1.7  -  2020.09.28CEST13:59:15

Vmag <= 6
---------

Number of objects : 5225

 #  |            identifier             |typ|        coord2 (FK5,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |     spec. type      |#bib |#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------------|-----|----
2838|* l Cen                            |** |12 39 52.5283944 -39 59 14.290592      | 4.16 | 4.56 | 4.64 | 4.66 | 4.75 |B8II/III             | 104 |   0
2839|HD 109573                          |PM*|12 36 01.0317721349 -39 52 10.222698506|     ~| 5.786| 5.774| 7.25 | 5.81 |A0V                  | 557 |   1
2840|* alf01 CVn                        |PM*|12 56 00.4316668750 +38 18 53.468304880| 5.91 | 5.94 | 5.60 | 5.36 | 5.13 |F2V                  | 190 |   0
2841|V* DT CVn                          |dS*|12 50 10.7399345981 +37 31 00.980973965|     ~| 6.025| 5.872|     ~|     ~|A5Vp_lB              |  90 |   0
2842|* alf02 CVn                        |a2*|12 56 01.6662171 +38 19 06.154110      | 2.44 | 2.76 | 2.88 | 2.98 | 3.05 |A0VpSiEu             | 640 |   0
2843|* 31 Com                           |Ro*|12 51 41.9190038520 +27 32 26.568320838| 5.81 | 5.61 | 4.94 | 4.39 | 4.04 |G0IIIp               | 411 |   1
2844|* 30 Com                           |** |12 49 17.4513577175 +27 33 08.567319788| 5.87 | 5.81 | 5.78 |     ~| 5.70 |A1Van                |  76 |   0
2845|* 35 Com                           |SB*|12 53 17.74703 +21 14 41.8092          |     ~| 5.80 | 4.91 |     ~|     ~|G7III+F:             | 165 |   0
2846|* 27 Com                           |*  |12 46 38.7623354143 +16 34 39.674263990|     ~| 6.46 | 5.12 |     ~|     ~|K4III                |  57 |   0
2847|* 29 Com                           |*  |12 48 54.2130819455 +14 07 21.305551850|     ~| 5.721| 5.681|     ~|     ~|A1V                  |  76 |   0
2848|* d02 Vir                          |dS*|12 45 37.0584841 +07 40 23.969587      |     ~| 5.525| 5.207|     ~|     ~|F0IIIm               | 149 |   0
2849|* del Vir                          |RG*|12 55 36.2086058 +03 23 50.893225      | 6.76 | 4.97 | 3.38 | 1.86 | 0.53 |M3+III               | 256 |   0
2850|* psi Vir                          |LP*|12 54 21.1634176 -09 32 20.378283      | 7.94 | 6.39 | 4.80 | 3.23 | 1.95 |M3-III               | 158 |   0
2851|HD 112131                          |** |12 54 18.6598835788 -11 38 54.853415445|     ~| 6.051| 5.975|     ~|     ~|A1V                  |  30 |   0
2852|HD 111295                          |PM*|12 48 26.2573589327 -27 35 50.582887777|     ~| 6.609| 5.658|     ~|     ~|G8III                |  26 |   0
2853|HD 111032                          |*  |12 46 46.2277281982 -33 18 55.735358904|     ~| 7.207| 5.869|     ~|     ~|K3III                |  10 |   0
2854|* p Cen                            |*  |12 50 41.1642626041 -33 59 57.614513910|     ~| 4.863| 4.894|     ~|     ~|B9V                  |  42 |   0
2855|HD 111774                          |V* |12 51 56.9314364777 -39 40 49.548575882|     ~| 5.885| 5.969|     ~|     ~|B7/8V                |  35 |   0
2856|* n Cen                            |PM*|12 53 26.2000107 -40 10 43.944054      | 4.60 | 4.48 | 4.27 | 4.07 | 3.93 |A4IV                 |  86 |   0
2857|HD 112213                          |V* |12 55 19.4331534012 -42 54 56.646116797|     ~| 7.093| 5.445|     ~|     ~|M0III                |  41 |   0
2858|HD 112164                          |PM*|12 54 58.5416895952 -44 09 06.912346816| 6.78 | 6.53 | 5.89 |     ~|     ~|F9Vp                 | 111 |   0
2859|* 14 CVn                           |V* |13 05 44.4351458045 +35 47 56.028353458|     ~| 5.132| 5.195|     ~|     ~|B9V                  |  89 |   0
2860|* 37 Com                           |RS*|13 00 16.4672517487 +30 47 06.064425348|     ~| 6.02 | 4.88 |     ~|     ~|G9IIICH-2CN-1        | 150 |   0
2861|* 41 Com                           |PM*|13 07 10.7300255 +27 37 29.058512      | 8.14 | 6.22 | 4.69 | 3.64 | 2.83 |K5-III               | 140 |   0
2862|* 40 Com                           |LP*|13 06 22.6024454119 +22 36 58.261906251| 8.82 | 7.22 | 5.61 | 3.63 | 1.84 |M5III:               | 102 |   0
2863|* 38 Com                           |*  |13 01 09.6154490505 +17 07 23.327431319|     ~| 6.90 | 5.93 |     ~|     ~|G9III                |  36 |   0
2864|* 36 Com                           |PM*|12 58 55.4427684626 +17 24 33.989762677| 8.31 | 6.35 | 5.00 | 3.44 | 2.49 |M0.5III              |  78 |   0
2865|* eps Vir                          |PM*|13 02 10.5978496 +10 57 32.941443      | 4.45 | 3.71 | 2.79 | 2.16 | 1.71 |G8III-IIIb           | 517 |   0
2866|* k Vir                            |** |12 59 39.5347301059 -03 48 42.970891786|     ~| 5.954| 5.791|     ~|     ~|A3III                |  73 |   0
2867|HD 113852                          |PM*|13 06 54.2455843561 -35 51 43.367960809|     ~| 5.672| 5.630|     ~|     ~|A0V                  |  35 |   0
2868|* 19 CVn                           |SB*|13 15 31.9526296052 +40 51 18.751642684|     ~| 5.962| 5.777|     ~|     ~|A7V                  |  62 |   0
2869|* 20 CVn                           |dS*|13 17 32.5409307 +40 34 21.387477      |     ~| 5.010| 4.698|     ~|     ~|A9IImF2              | 231 |   0
2870|HD 115004                          |PM*|13 13 42.9421158340 +40 09 10.377447760|     ~| 5.99 | 4.94 |     ~|     ~|G8.5IIICN0.5         |  85 |   0
2871|* 17 CVn                           |PM*|13 10 03.2161411180 +38 29 56.328513041|     ~| 6.209| 5.910|     ~|     ~|A9III-IV             |  55 |   0
2872|HD 114357                          |SB*|13 09 38.6509226168 +37 25 23.233663866|     ~| 7.16 | 5.99 |     ~|     ~|K2III                |  41 |   0
2873|HD 115723                          |*  |13 18 27.7275764807 +34 05 53.908061167|     ~| 7.14 | 5.78 |     ~|     ~|K4III                |  27 |   0
2874|* bet Com                          |PM*|13 11 52.3937856 +27 52 41.453553      | 4.92 | 4.84 | 4.25 | 3.77 | 3.47 |F9.5V                | 848 |   0
2875|HD 114326                          |PM*|13 09 47.8475056573 +16 50 54.996090934| 9.01 | 7.32 | 5.87 |     ~|     ~|K4III                |  47 |   0
2876|* alf Com                          |** |13 09 59.28520 +17 31 46.0389          | 4.71 | 4.77 | 4.32 | 4.1  |     ~|F5V+F6V              | 194 |   0
2877|* alf Com A                        |PM*|13 09 59.285492 +17 31 45.85645        |     ~| 5.25 | 4.80 |     ~|     ~|F5V                  | 235 |   0
2878|* alf Com B                        |PM*|13 09 59.288719 +17 31 46.24482        |     ~| 5.92 | 5.48 |     ~|     ~|F6V                  |  92 |   0
2879|HD 115478                          |*  |13 17 15.6282353768 +13 40 32.700484933| 8.130| 6.630| 5.330|     ~|     ~|K3III                |  65 |   0
2880|HD 114780                          |PM*|13 12 32.9197595829 +11 33 21.956521730|     ~| 7.28 | 5.77 |     ~|     ~|M0III                |  31 |   0
2881|V* LN Vir                          |EB*|13 14 31.2841173795 +11 19 53.958979743| 9.03 | 7.17 | 5.67 |     ~|     ~|M0III                |  42 |   0
2882|HD 114256                          |*  |13 09 12.4347053658 +10 01 20.886251367|     ~| 6.816| 5.782|     ~|     ~|K0III                |  23 |   0
2883|* sig Vir                          |V* |13 17 36.2832672 +05 28 11.522114      | 8.42 | 6.47 | 4.80 |     ~|     ~|M1III                |  89 |   0
2884|* tet Vir                          |** |13 09 56.9843568248 -05 32 20.465727623|     ~| 4.385| 4.397|     ~|     ~|A1IVs                | 242 |   0
2885|* g Vir                            |PM*|13 08 32.4664009388 -08 59 03.781280976|     ~| 6.753| 5.564|     ~|     ~|K1III                |  25 |   0
2886|* 49 Vir                           |*  |13 07 53.8116847300 -10 44 25.473958133|     ~| 6.281| 5.151|     ~|     ~|K0.5IIIbFe-0.5       |  77 |   0
2887|* 50 Vir                           |V* |13 09 45.2816270219 -10 19 45.627524567|     ~| 7.436| 5.943|     ~|     ~|K4III                |  19 |   0
2888|* 53 Vir                           |PM*|13 12 03.5439044831 -16 11 54.977342934|     ~| 5.50 | 5.04 |     ~|     ~|F5.5V                | 125 |   0
2889|* 61 Vir                           |PM*|13 18 24.3142756 -18 18 40.304648      | 5.710| 5.440| 4.740|     ~|     ~|G6.5V                | 595 |   1
2890|* 55 Vir                           |PM*|13 14 10.8958308887 -19 55 51.410166108|     ~| 6.20 | 5.33 |     ~|     ~|G7IV                 | 111 |   0
2891|* 57 Vir                           |PM*|13 15 58.7708535803 -19 56 35.159709257|     ~| 6.25 | 5.22 |     ~|     ~|K1IV-                |  82 |   0
2892|* psi Hya                          |*  |13 09 03.2643950577 -23 07 04.964898634|     ~| 5.980| 4.934|     ~|     ~|K0III                |  37 |   0
2893|* r Cen                            |RG*|13 16 53.1322789968 -31 30 22.333182114|     ~| 6.072| 5.110|     ~|     ~|K0III                |  44 |   0
2894|HD 114613                          |PM*|13 12 03.1833193234 -37 48 10.879261160| 5.86 | 5.55 | 4.85 | 4.28 | 3.92 |G3V                  | 165 |   0
2895|HD 114474                          |PM*|13 11 23.2160066551 -43 22 06.787695012|     ~| 6.287| 5.231|     ~|     ~|K1/2III              |  27 |   0
2896|* 23 CVn                           |PM*|13 20 18.9511359932 +40 09 01.970928300|     ~| 6.82 | 5.60 |     ~|     ~|K2II-III             |  54 |   0
2897|HD 116706                          |*  |13 25 06.6780914839 +23 51 15.912595283|     ~| 5.829| 5.745|     ~|     ~|A3IV                 |  62 |   0
2898|* 70 Vir                           |PM*|13 28 25.8081883620 +13 46 43.642951116| 5.930| 5.680| 4.970| 4.37 | 3.98 |G4Va                 | 671 |   1
2899|* 71 Vir                           |PM*|13 29 13.0004703875 +10 49 05.908169509|     ~| 6.718| 5.646|     ~|     ~|K0III                |  42 |   0
2900|NAME NGC 5171 Group                |GrG|13 29 22.3 +11 47 31                   |     ~|     ~| 4.7  |     ~|     ~|~                    |  70 |   0
2901|* 64 Vir                           |** |13 22 09.7048556046 +05 09 17.129438697|     ~| 5.989| 5.873|     ~| 5.82 |kA3hA6mA7            |  59 |   0
2902|HD 116160                          |PM*|13 21 41.6449892196 +02 05 14.059092914|     ~| 5.732| 5.687|     ~| 5.64 |A0V                  |  66 |   0
2903|HD 116831                          |PM*|13 26 11.4159851966 -01 11 32.900692019|     ~| 6.153| 5.965|     ~|     ~|A8V                  |  37 |   0
2904|* 65 Vir                           |*  |13 23 18.8935461847 -04 55 27.941367936|     ~| 7.304| 5.858|     ~|     ~|K4III                |  27 |   0
2905|* 66 Vir                           |PM*|13 24 33.2484119844 -05 09 50.161878790|     ~| 6.167| 5.749|     ~|     ~|K2V                  |  69 |   0
2906|* i Vir                            |PM*|13 26 43.1677950721 -12 42 27.598938373| 8.52 | 6.77 | 5.25 |     ~|     ~|K5III                |  71 |   0
2907|* alf Vir                          |bC*|13 25 11.57937 -11 09 40.7501          |-0.20 | 0.74 | 0.97 | 1.06 | 1.30 |B1V                  | 821 |   2
2908|* 69 Vir                           |PM*|13 27 27.1634806205 -15 58 24.897986472|     ~| 5.850| 4.750|     ~|     ~|K0III-IIIbCN1.5CH0.5 | 109 |   0
2909|* 63 Vir                           |PM*|13 23 01.1146146600 -17 44 06.987580959|     ~| 6.349| 5.354|     ~|     ~|K0III                |  56 |   0
2910|* gam Hya                          |SB*|13 18 55.2971856 -23 10 17.451401      | 4.58 | 3.92 | 3.00 | 2.40 | 1.93 |G8IIIa               | 162 |   0
2911|V* R Hya                           |Mi*|13 29 42.7818674 -23 16 52.774679      | 7.26 | 6.58 | 4.97 | 2.27 |-0.15 |M6-9e                | 461 |   0
2912|* iot Cen                          |PM*|13 20 35.8173695 -36 42 44.244688      | 2.77 | 2.76 | 2.73 | 2.68 | 2.69 |kA1.5hA3mA3Va        | 190 |   0
2913|HD 116713                          |Pe*|13 26 07.7990298136 -39 45 18.456410720| 7.31 | 6.29 | 5.09 |     ~|     ~|K0.5IIIbBa3          | 128 |   0
2914|HD 116835                          |*  |13 26 56.1161943614 -41 29 51.224534607|     ~| 7.163| 5.656|     ~|     ~|K3III                |  12 |   0
2915|V* BH CVn                          |RS*|13 34 47.8087874928 +37 10 56.694070527| 5.43 | 5.38 | 4.98 | 4.57 | 4.27 |A6m                  | 318 |   0
2916|* 25 CVn                           |** |13 37 27.62782 +36 17 41.6337          |     ~| 5.05 | 4.82 |     ~|     ~|A7III+A8V:           | 138 |   0
2917|* 25 CVn A                         |PM*|13 37 27.6270552212 +36 17 41.632517494|     ~| 5.165| 4.953|     ~|     ~|A7III                |   6 |   0
2918|HD 118508                          |V* |13 36 59.0821489265 +24 36 47.862192201| 9.14 | 7.28 | 5.69 |     ~|     ~|M3                   |  41 |   0
2919|* 2 Boo                            |*  |13 41 02.3466140808 +22 29 44.774443539|     ~| 6.59 | 5.58 |     ~|     ~|K0III                |  55 |   0
2920|* 1 Boo                            |** |13 40 40.4692590104 +19 57 20.583939813|     ~| 5.77 | 5.76 |     ~| 5.72 |A1V                  |  46 |   0
2921|HD 118889                          |** |13 39 34.61613 +10 44 46.5827          |     ~| 5.912| 5.580|     ~|     ~|F0V                  | 150 |   0
2922|* o Vir                            |a2*|13 34 07.9318557 +03 39 32.273821      | 4.96 | 4.96 | 4.94 | 4.86 | 4.89 |ApEuCrSr             | 319 |   0
2923|* zet Vir                          |PM*|13 34 41.5933793869 -00 35 45.009664548| 3.58 | 3.50 | 3.38 | 3.31 | 3.25 |A2Van                | 182 |   0
2924|* l Vir                            |PM*|13 31 57.8850553 -06 15 20.941894      | 8.25 | 6.29 | 4.69 | 3.23 | 2.07 |M2.5III              |  77 |   0
2925|* 80 Vir                           |PM*|13 35 31.2966682531 -05 23 46.287709058|     ~| 6.661| 5.706|     ~|     ~|K0III                |  42 |   0
2926|* h Vir                            |PM*|13 32 58.0721498 -10 09 54.009115      |     ~| 6.17 | 5.21 |     ~|     ~|G8III                |  73 |   0
2927|* y Vir                            |** |13 34 40.4501961 -13 12 51.571563      |     ~| 5.956| 5.932|     ~|     ~|A0V                  |  93 |   0
2928|* 75 Vir                           |PM*|13 32 51.6423178 -15 21 46.848534      |     ~| 6.760| 5.529|     ~|     ~|K1.5IIIb:            |  16 |   0
2929|* 73 Vir                           |dS*|13 32 02.8064842026 -18 43 43.955358485|     ~| 6.207| 5.998|     ~|     ~|A7IV/V               |  49 |   0
2930|HD 117716                          |PM*|13 32 35.8980888666 -28 41 33.967310358|     ~| 5.73 | 5.69 |     ~|     ~|A2V                  |  43 |   0
2931|HD 118349A                         |PM*|13 36 48.4537758385 -26 29 42.712689606|     ~| 6.00 | 5.78 |     ~|     ~|A7III-IV             |  34 |   0
2932|HD 118646                          |PM*|13 38 42.0711501372 -29 33 39.125824529|     ~| 6.221| 5.810|     ~|     ~|F3V                  |  59 |   0
2933|* d Cen                            |** |13 31 02.6565951 -39 24 26.298992      | 6.08 | 5.04 | 3.88 | 3.04 | 2.45 |G8II/III             |  73 |   0
2934|HD 118799                          |PM*|13 39 48.5480172428 -40 03 06.146463114|     ~| 6.909| 5.603|     ~|     ~|K2/3III              |   8 |   0
2935|HD 120047                          |PM*|13 46 13.5455696446 +41 05 19.478521221|     ~| 6.085| 5.877|     ~|     ~|A5V                  |  48 |   0
2936|HD 120048                          |PM*|13 46 19.0619572609 +38 30 13.044525331|     ~| 6.868| 5.919|     ~|     ~|G9III                |  43 |   0
2937|HD 120164                          |PM*|13 46 59.7748651790 +38 32 33.706707656|     ~| 6.553| 5.501|     ~|     ~|K0III                |  73 |   0
2938|HD 119458                          |SB*|13 42 43.4307502948 +34 59 20.483410936|     ~| 6.82 | 5.96 |     ~|     ~|G5III-IIIbFe-0.5     |  45 |   0
2939|HD 120819                          |PM*|13 51 09.2154966597 +34 39 51.830788149| 9.45 | 7.49 | 5.87 |     ~|     ~|M2III                |  37 |   0
2940|V* AW CVn                          |LP?|13 51 47.4753428 +34 26 39.261252      | 8.36 | 6.40 | 4.74 | 3.21 | 1.93 |M3-IIIa              | 107 |   0
2941|HD 120420                          |*  |13 48 38.7347776474 +31 11 24.740317068|     ~| 6.59 | 5.57 |     ~|     ~|K0III                |  45 |   0
2942|* 3 Boo                            |SB*|13 46 43.3235859006 +25 42 08.054809908|     ~| 6.47 | 5.965|     ~|     ~|A7V:+G5III:          |  75 |   0
2943|* e Boo                            |SB*|13 49 42.8222337596 +21 15 50.857977842|     ~| 6.33 | 4.91 |     ~|     ~|K4III                |  78 |   0
2944|* ups Boo                          |PM*|13 49 28.6407858 +15 47 52.460283      | 7.46 | 5.59 | 4.07 | 2.87 | 2.00 |K5.5III              | 136 |   0
2945|* tau Boo                          |Ro*|13 47 15.74340 +17 27 24.8552          | 5.02 | 4.98 | 4.49 | 4.09 | 3.85 |F7IV-V               | 884 |   1
2946|HD 120602                          |*  |13 50 24.6782891653 +05 29 50.002618344|     ~| 6.892| 5.993|     ~|     ~|K0                   |  41 |   0
2947|* m Vir                            |PM*|13 41 36.7696829398 -08 42 10.733953564| 8.59 | 6.64 | 5.01 |     ~|     ~|M1+III               | 104 |   0
2948|* 83 Vir                           |*  |13 44 29.8270057108 -16 10 44.663786459|     ~| 6.350| 5.567|     ~|     ~|G0II:                |  83 |   0
2949|* 87 Vir                           |PM*|13 47 25.3915118774 -17 51 35.432896577| 8.99 | 7.05 | 5.43 |     ~|     ~|M2III                |  64 |   0
2950|* 89 Vir                           |PM*|13 49 52.2833980368 -18 08 03.010291899|     ~| 6.018| 4.959|     ~|     ~|K0+IIIb              |  99 |   0
2951|* i Cen                            |SB*|13 45 41.2448252 -33 02 37.399704      | 4.61 | 4.61 | 4.23 | 3.90 | 3.69 |F2V                  | 152 |   0
2952|* g Cen                            |LP*|13 49 26.7217509 -34 27 02.792908      | 7.15 | 5.69 | 4.19 | 2.06 | 0.19 |M5-III:              | 134 |   0
2953|* z Cen                            |*  |13 46 56.3514917011 -36 15 06.956271592|     ~| 5.137| 5.147|     ~|     ~|A0V                  |  50 |   0
2954|HD 121164                          |** |13 53 10.2817648440 +28 38 53.275686377|     ~| 6.102| 5.909|     ~|     ~|A8IV                 |  57 |   0
2955|* 9 Boo                            |Ir*|13 56 34.1804386945 +27 29 31.485139001| 8.160| 6.440| 5.000|     ~|     ~|K3III                |  94 |   0
2956|* 10 Boo                           |*  |13 58 38.9210098429 +21 41 46.330222532|     ~| 5.743| 5.748|     ~|     ~|A0Vs                 |  57 |   0
2957|* eta Boo                          |SB*|13 54 41.07892 +18 23 51.7946          | 3.440| 3.250| 2.680| 2.24 | 1.95 |G0IV                 | 657 |   1
2958|* 7 Boo                            |*  |13 53 12.9303341537 +17 55 58.328207501|     ~| 6.551| 5.709|     ~|     ~|G5III                |  62 |   0
2959|HD 121980                          |PM*|13 58 39.9072743482 +14 38 57.387756328|     ~| 7.432| 5.999|     ~|     ~|K5III                |  26 |   0
2960|HD 122365                          |*  |14 01 20.4266447039 +08 53 41.622795427|     ~| 6.058| 5.973|     ~|     ~|A2V                  |  29 |   0
2961|* 92 Vir                           |*  |13 56 27.8770145971 +01 03 02.089585154|     ~| 6.117| 5.898|     ~|     ~|A5IV/V               |  43 |   0
2962|* tau Vir                          |*  |14 01 38.7934143 +01 32 40.314540      |     ~| 4.331| 4.237|     ~| 4.11 |A2IV/V               | 134 |   0
2963|* p Vir                            |PM*|13 54 42.1451632540 -01 30 11.242079124|     ~| 6.258| 5.159|     ~|     ~|K1/2II/III           |  72 |   0
2964|* 47 Hya                           |PM*|13 58 31.1464192 -24 58 20.097910      |     ~| 5.05 | 5.15 |     ~|     ~|B8V                  |  68 |   0
2965|* 48 Hya                           |PM*|14 00 00.1205923361 -25 00 37.457700755|     ~| 6.25 | 5.77 |     ~|     ~|F6V                  |  61 |   0
2966|HD 122430                          |*  |14 02 22.7817289987 -27 25 47.199212657|     ~| 6.799| 5.469|     ~|     ~|K2/3III              |  38 |   1
2967|* h Cen                            |SB*|13 53 12.5382889763 -31 55 39.424782023| 4.04 | 4.59 | 4.73 |     ~|     ~|B5IVp                |  95 |   0
2968|* d Boo                            |SB*|14 10 23.9320799726 +25 05 30.021013287| 5.44 | 5.37 | 4.83 | 4.39 | 4.10 |F8V                  | 160 |   0
2969|* 15 Boo                           |PM*|14 14 50.8477339602 +10 06 02.186424119|     ~| 6.37 | 5.32 | 6.59 |     ~|K0III                |  94 |   0
2970|V* CU Vir                          |a2*|14 12 15.8054758 +02 24 33.953395      | 4.46 | 4.90 | 5.02 | 5.10 | 5.23 |ApSi                 | 348 |   0
2971|HD 124425                          |SB*|14 13 40.7900398020 -00 50 43.672377393|     ~| 6.38 | 5.90 |     ~|     ~|F6V                  | 101 |   0
2972|* 95 Vir                           |PM*|14 06 42.8233783638 -09 18 48.659690457|     ~| 5.807| 5.453|     ~|     ~|F2III                |  60 |   0
2973|* kap Vir                          |PM*|14 12 53.7453840 -10 16 25.333997      | 7.00 | 5.53 | 4.21 | 3.14 | 2.39 |K2.5IIIFe-0.5        | 130 |   0
2974|V* ET Vir                          |LP*|14 10 50.4870574246 -16 18 07.310535267| 8.76 | 6.63 | 4.91 |     ~|     ~|M2IIIa               |  93 |   0
2975|* pi. Hya                          |PM*|14 06 22.2974865 -26 40 56.502378      | 5.45 | 4.41 | 3.28 | 2.40 | 1.85 |K2-IIIFe-0.5         | 129 |   0
2976|* 50 Hya                           |*  |14 12 46.0229491343 -27 15 40.268119429|     ~| 6.24 | 5.08 |     ~|     ~|K2III                |  32 |   0
2977|* tet Cen                          |PM*|14 06 40.94752 -36 22 11.8371          | 3.94 | 3.04 | 2.05 | 1.29 | 0.76 |K0-IIIb              | 238 |   0
2978|* A Boo                            |SB*|14 17 59.8184113943 +35 30 34.245892315|     ~| 5.852| 4.796|     ~|     ~|K0III                | 101 |   0
2979|* alf Boo                          |RG*|14 15 39.67207 +19 10 56.6730          | 2.46 | 1.18 |-0.05 |-1.03 |-1.68 |K1.5IIIFe-0.5        |2143 |   0
2980|V* CN Boo                          |dS*|14 16 04.1398522730 +18 54 42.481918306|     ~| 6.231| 5.957|     ~|     ~|A8V                  |  69 |   0
2981|V* CY Boo                          |LP*|14 17 28.4514223180 +15 15 48.168458868| 9.58 | 7.51 | 5.80 |     ~|     ~|M3III                |  32 |   0
2982|* 18 Boo                           |PM*|14 19 16.2796600897 +13 00 15.485871376|     ~| 5.788| 5.396|     ~|     ~|F5IV                 | 146 |   0
2983|BD+09 2882                         |** |14 23 22.69526 +08 26 47.8351          | 4.89 | 4.92 | 4.87 |     ~|     ~|~                    | 108 |   0
2984|HD 126200                          |Al*|14 24 00.8792988760 +08 14 38.296259155|     ~| 5.984| 5.930|     ~|     ~|A3V                  |  37 |   0
2985|HD 126248                          |** |14 24 11.3443421 +05 49 12.467853      |     ~| 5.222| 5.094|     ~|     ~|A3V                  |  74 |   0
2986|* ups Vir                          |PM*|14 19 32.4801543933 -02 15 55.864300715| 7.01 | 6.16 | 5.14 |     ~|     ~|G9IIICN-0.5          |  77 |   0
2987|* iot Vir                          |PM*|14 16 00.8695049 -06 00 01.963348      | 4.64 | 4.60 | 4.08 |     ~|     ~|F7III                | 334 |   0
2988|* lam Vir                          |SB*|14 19 06.5923499 -13 22 15.945905      | 4.750| 4.660| 4.520|     ~| 4.43 |A1V                  | 139 |   0
2989|HD 124683                          |*  |14 15 24.0849409 -18 12 02.487932      |     ~| 5.525| 5.532|     ~|     ~|A0V                  |  56 |   0
2990|HD 126218                          |PM*|14 24 48.6255141 -24 48 22.709013      |     ~| 6.300| 5.332|     ~|     ~|K0III                |  45 |   0
2991|HD 125276                          |PM*|14 19 00.8956424822 -25 48 55.531887272|     ~| 6.36 | 5.87 |     ~|     ~|F9VFe-1.5CH-0.7      |  83 |   0
2992|* k Hya                            |PM*|14 23 05.7739343948 -27 45 14.460935182| 7.59 | 6.06 | 4.75 | 3.78 | 3.11 |K4III                |  74 |   0
2993|HD 125745                          |*  |14 22 19.7204582380 -34 47 12.452903336|     ~| 5.467| 5.568|     ~|     ~|B8V                  |  33 |   0
2994|HD 125283                          |** |14 19 23.8801742982 -37 00 10.459252871|     ~| 6.002| 5.925|     ~|     ~|A2Vn                 |  44 |   0
2995|* psi Cen                          |PM*|14 20 33.4322870 -37 53 07.055140      | 3.91 | 4.006| 4.034| 6.13 | 8.45 |A0IV                 |  92 |   0
2996|HD 128198                          |PM*|14 34 38.4999774693 +36 37 33.828791944|     ~| 7.404| 5.999|     ~|     ~|K5III                |  15 |   0
2997|* rho Boo                          |PM*|14 31 49.7896173 +30 22 17.178087      | 6.33 | 4.89 | 3.59 | 2.67 | 2.02 |K3-III               | 246 |   0
2998|* sig Boo                          |PM*|14 34 40.8171808483 +29 44 42.463685978| 4.76 | 4.84 | 4.47 | 4.13 | 3.94 |F4VkF2mF1            | 572 |   0
2999|* 26 Boo                           |PM*|14 32 32.5422644512 +22 15 36.204353671|     ~| 6.263| 5.897|     ~|     ~|F2IV                 |  78 |   0
3000|* f Boo                            |PM*|14 26 27.3652900638 +19 13 36.847005483|     ~| 5.637| 5.394|     ~|     ~|kA7hA8mF2(III)((Sr)) | 109 |   0
3001|HD 127167                          |*  |14 29 50.5179931879 +00 49 44.144027625|     ~| 6.120| 5.966|     ~|     ~|A5IV/V               |  40 |   0
3002|* phi Vir                          |PM*|14 28 12.1387305861 -02 13 40.648944384|     ~| 5.522| 4.840|     ~|     ~|G2IV                 | 173 |   0
3003|* 106 Vir                          |PM*|14 28 41.7214018498 -06 54 01.895061632|     ~| 6.901| 5.418|     ~|     ~|K4/5III              |  28 |   0
3004|* l Hya                            |** |14 28 10.42638 -29 29 29.8884          | 4.49 | 4.90 | 4.97 |     ~|     ~|B7/8V                |  55 |   0
3005|* eps Boo B                        |*  |14 44 59.1497672913 +27 04 29.948119279| 6.81 | 4.853| 4.801|     ~|     ~|A0V                  |  43 |   0
3006|* eps Boo                          |** |14 44 59.21746 +27 04 27.2099          |     ~| 3.36 | 2.39 |     ~|     ~|A0                   |  44 |   0
3007|* eps Boo A                        |*  |14 44 59.223146 +27 04 27.14599        |     ~| 3.61 | 2.45 |     ~|     ~|K0-II-III            | 114 |   0
3008|* 34 Boo                           |LP*|14 43 25.3630456 +26 31 40.266331      | 8.44 | 6.46 | 4.79 | 3.37 | 2.11 |M3-III               | 106 |   0
3009|HD 128750                          |PM*|14 38 13.9874449228 +18 17 54.164566368|     ~| 7.022| 5.910|     ~|     ~|K2III:               |  36 |   0
3010|* pi.01 Boo                        |*  |14 40 43.5583584090 +16 25 05.960136146| 4.18 | 4.792| 4.893| 4.47 | 4.49 |B9IIIpHgMnSi         | 190 |   0
3011|* pi.02 Boo                        |*  |14 40 43.9260447855 +16 25 04.078058358|     ~| 5.979| 5.761|     ~|     ~|A6V                  |  46 |   0
3012|* omi Boo                          |PM*|14 45 14.4602643 +16 57 51.407805      | 6.33 | 5.58 | 4.60 | 3.87 | 3.39 |G8.5III              | 120 |   0
3013|V* EK Boo                          |LP?|14 46 05.94566 +15 07 54.4332          | 8.51 | 7.20 | 5.63 |     ~|     ~|M5III                |  73 |   0
3014|HD 129153                          |PM*|14 40 42.3930271047 +13 32 03.565518452|     ~| 6.152| 5.925|     ~|     ~|F0V                  |  55 |   0
3015|* zet Boo                          |** |14 41 08.95158 +13 43 41.8967          | 3.88 | 3.83 | 3.78 |     ~|     ~|A1V                  | 102 |   0
3016|* zet Boo A                        |PM*|14 41 08.960182 +13 43 41.81182        |     ~| 4.56 | 4.51 |     ~|     ~|~                    | 105 |   0
3017|* zet Boo B                        |PM*|14 41 08.907838 +13 43 42.30070        |     ~| 4.59 | 4.51 |     ~|     ~|~                    | 117 |   0
3018|* 31 Boo                           |V* |14 41 38.7504908982 +08 09 42.340850402|     ~| 5.866| 4.862|     ~|     ~|G7IIIa               | 151 |   0
