Numeric 	Standard name 	Cond. 	Extended explanation 
13.04.00.00      	  ·  Bubble     	bub     	Bubble     
13.06.00.00      	  ·  EmObj     	EmO     	Emission Object     
13.08.00.00      	  ·  Cloud     	Cld     	Cloud     
13.08.03.00      	  ·  ·  GalNeb     	GNe     	Galactic Nebula     
13.08.04.00      	  ·  ·  BrNeb     	BNe     	Bright Nebula     
13.08.06.00      	  ·  ·  DkNeb     	DNe     	Dark Cloud (nebula)     
13.08.07.00      	  ·  ·  RfNeb     	RNe     	Reflection Nebula     
13.08.12.00      	  ·  ·  MolCld     	MoC     	Molecular Cloud     
13.08.12.03      	  ·  ·  ·  Globule     	glb     	Globule (low-mass dark cloud)     
13.08.12.06      	  ·  ·  ·  denseCore     	cor     	Dense core     
13.08.12.08      	  ·  ·  ·  SFregion     	SFR     	Star forming region     
13.08.13.00      	  ·  ·  HVCld     	HVC     	High-velocity Cloud     
13.09.00.00      	  ·  HII     	HII     	HII (ionized) region     
13.10.00.00      	  ·  PN     	PN      	Planetary Nebula     
13.11.00.00      	  ·  HIshell     	sh      	HI shell     
13.12.00.00      	  ·  SNR?     	SR?     	SuperNova Remnant Candidate     
13.13.00.00      	  ·  SNR     	SNR     	SuperNova Remnant     
13.14.00.00      	  ·  Circumstellar     	cir     	CircumStellar matter     
13.14.01.00      	  ·  ·  outflow?     	of?     	Outflow candidate     
13.14.15.00      	  ·  ·  Outflow     	out     	Outflow     
13.14.16.00      	  ·  ·  HH     	HH      	Herbig-Haro Object     
			
14.00.00.00      	Star     	*      	Star     
14.01.00.00      	  ·  *inCl     	*iC     	Star in Cluster     
14.02.00.00      	  ·  *inNeb     	*iN     	Star in Nebula     
14.03.00.00      	  ·  *inAssoc     	*iA     	Star in Association     
14.04.00.00      	  ·  *in**     	*i*     	Star in double system     
14.05.00.00      	  ·  V*?     	V*?     	Star suspected of Variability     
14.06.00.00      	  ·  Pec*     	Pe*     	Peculiar Star     
14.06.01.00      	  ·  ·  HB*     	HB*     	Horizontal Branch Star     
14.06.02.00      	  ·  ·  YSO     	Y*O     	Young Stellar Object     
14.06.02.04      	  ·  ·  ·  Ae*     	Ae*     	Herbig Ae/Be star     
14.06.05.00      	  ·  ·  Em*     	Em*     	Emission-line Star     
14.06.05.03      	  ·  ·  ·  Be*     	Be*     	Be Star     
14.06.06.00      	  ·  ·  BlueStraggler     	BS*     	Blue Straggler Star     
14.06.10.00      	  ·  ·  RGB*     	RG*     	Red Giant Branch star     
14.06.12.00      	  ·  ·  AGB*     	AB*     	Asymptotic Giant Branch Star (He-burning)     
14.06.12.03      	  ·  ·  ·  C*     	C*      	Carbon Star     
14.06.12.06      	  ·  ·  ·  S*     	S*      	S Star     
14.06.13.00      	  ·  ·  SG*     	sg*     	Evolved supergiant star     
14.06.13.03      	  ·  ·  ·  RedSG*     	s*r     	Red supergiant star     
14.06.13.04      	  ·  ·  ·  YellowSG*     	s*y     	Yellow supergiant star     
14.06.13.05      	  ·  ·  ·  BlueSG*     	s*b     	Blue supergiant star     
14.06.14.00      	  ·  ·  HotSubdwarf     	HS*     	Hot subdwarf     
14.06.15.00      	  ·  ·  post-AGB*     	pA*     	Post-AGB Star (proto-PN)     
14.06.16.00      	  ·  ·  WD*     	WD*     	White Dwarf     
14.06.16.01      	  ·  ·  ·  pulsWD*     	ZZ*     	Pulsating White Dwarf     
14.06.17.00      	  ·  ·  low-mass*     	LM*     	Low-mass star (M<1solMass)     
14.06.18.00      	  ·  ·  brownD*     	BD*     	Brown Dwarf (M<0.08solMass)     
14.06.19.00      	  ·  ·  Neutron*     	N*      	Confirmed Neutron Star     
14.06.23.00      	  ·  ·  OH/IR     	OH*     	OH/IR star     
14.06.24.00      	  ·  ·  CH     	CH*     	Star with envelope of CH type     
14.06.25.00      	  ·  ·  pMS*     	pr*     	Pre-main sequence Star     
14.06.25.03      	  ·  ·  ·  TTau*     	TT*     	T Tau-type Star     
14.06.30.00      	  ·  ·  WR*     	WR*     	Wolf-Rayet Star     
14.07.00.00      	  ·  PM*     	PM*     	High proper-motion Star     
14.08.00.00      	  ·  HV*     	HV*     	High-velocity Star     
14.09.00.00      	  ·  V*     	V*      	Variable Star     
14.09.01.00      	  ·  ·  Irregular_V*     	Ir*     	Variable Star of irregular type     
14.09.01.01      	  ·  ·  ·  Orion_V*     	Or*     	Variable Star of Orion Type     
14.09.01.02      	  ·  ·  ·  Rapid_Irreg_V*     	RI*     	Variable Star with rapid variations     
14.09.03.00      	  ·  ·  Eruptive*     	Er*     	Eruptive variable Star     
14.09.03.01      	  ·  ·  ·  Flare*     	Fl*     	Flare Star     
14.09.03.02      	  ·  ·  ·  FUOr     	FU*     	Variable Star of FU Ori type     
14.09.03.04      	  ·  ·  ·  Erupt*RCrB     	RC*     	Variable Star of R CrB type     
14.09.03.05      	  ·  ·  ·  RCrB_Candidate     	RC?     	Variable Star of R CrB type candiate     
14.09.04.00      	  ·  ·  RotV*     	Ro*     	Rotationally variable Star     
14.09.04.01      	  ·  ·  ·  RotV*alf2CVn     	a2*     	Variable Star of alpha2 CVn type     
14.09.04.03      	  ·  ·  ·  Pulsar     	Psr     	Pulsar     
14.09.04.04      	  ·  ·  ·  BYDra     	BY*     	Variable of BY Dra type     
14.09.04.05      	  ·  ·  ·  RSCVn     	RS*     	Variable of RS CVn type     
14.09.05.00      	  ·  ·  PulsV*     	Pu*     	Pulsating variable Star     
14.09.05.02      	  ·  ·  ·  RRLyr     	RR*     	Variable Star of RR Lyr type     
14.09.05.03      	  ·  ·  ·  Cepheid     	Ce*     	Cepheid variable Star     
14.09.05.05      	  ·  ·  ·  PulsV*delSct     	dS*     	Variable Star of delta Sct type     
14.09.05.06      	  ·  ·  ·  PulsV*RVTau     	RV*     	Variable Star of RV Tau type     
14.09.05.07      	  ·  ·  ·  PulsV*WVir     	WV*     	Variable Star of W Vir type     
14.09.05.08      	  ·  ·  ·  PulsV*bCep     	bC*     	Variable Star of beta Cep type     
14.09.05.09      	  ·  ·  ·  deltaCep     	cC*     	Classical Cepheid (delta Cep type)     
14.09.05.10      	  ·  ·  ·  gammaDor     	gD*     	Variable Star of gamma Dor type     
14.09.05.11      	  ·  ·  ·  pulsV*SX     	SX*     	Variable Star of SX Phe type (subdwarf)     
14.09.06.00      	  ·  ·  LPV*     	LP*     	Long-period variable star     
14.09.06.01      	  ·  ·  ·  Mira     	Mi*     	Variable Star of Mira Cet type     
14.09.06.04      	  ·  ·  ·  semi-regV*     	sr*     	Semi-regular pulsating Star     
14.09.08.00      	  ·  ·  SN     	SN*     	SuperNova     
14.14.00.00      	  ·  Sub-stellar     	su*     	Sub-stellar object     
14.14.02.00      	  ·  ·  Planet?     	Pl?     	Extra-solar Planet Candidate     
14.14.10.00      	  ·  ·  Planet     	Pl      	Extra-solar Confirmed Planet     
			
15.00.00.00      	Galaxy     	G      	Galaxy     
15.01.00.00      	  ·  PartofG     	PoG     	Part of a Galaxy     
15.02.00.00      	  ·  GinCl     	GiC     	Galaxy in Cluster of Galaxies     
15.02.02.00      	  ·  ·  BClG     	BiC     	Brightest galaxy in a Cluster (BCG)     
15.03.00.00      	  ·  GinGroup     	GiG     	Galaxy in Group of Galaxies     
15.04.00.00      	  ·  GinPair     	GiP     	Galaxy in Pair of Galaxies     
15.05.00.00      	  ·  High_z_G     	HzG     	Galaxy with high redshift     
15.06.00.00      	  ·  AbsLineSystem     	ALS     	Absorption Line system     
15.06.01.00      	  ·  ·  Ly-alpha_ALS     	LyA     	Ly alpha Absorption Line system     
15.06.02.00      	  ·  ·  DLy-alpha_ALS     	DLA     	Damped Ly-alpha Absorption Line system     
15.06.03.00      	  ·  ·  metal_ALS     	mAL     	metallic Absorption Line system     
15.06.05.00      	  ·  ·  Ly-limit_ALS     	LLS     	Lyman limit system     
15.06.08.00      	  ·  ·  Broad_ALS     	BAL     	Broad Absorption Line system     
15.07.00.00      	  ·  RadioG     	rG      	Radio Galaxy     
15.08.00.00      	  ·  HII_G     	H2G     	HII Galaxy     
15.09.00.00      	  ·  LSB_G     	LSB     	Low Surface Brightness Galaxy     
15.10.00.00      	  ·  AGN_Candidate     	AG?     	Possible Active Galaxy Nucleus     
15.10.07.00      	  ·  ·  QSO_Candidate     	Q?      	Possible Quasar     
15.10.11.00      	  ·  ·  Blazar_Candidate     	Bz?     	Possible Blazar     
15.10.17.00      	  ·  ·  BLLac_Candidate     	BL?     	Possible BL Lac     
15.11.00.00      	  ·  EmG     	EmG     	Emission-line galaxy     
